X,logFC,AveExpr,t,P.Value,adj.P.Val,B
EEF1A1,-0.438822167,13.31520931,-2.526449361,0.018843734,0.175612652,-3.601085852
HEXA,-0.410126451,7.750988361,-2.523275869,0.018976659,0.175739467,-3.607435633
GGPS1,-0.698694822,5.919168952,-2.498508064,0.021280346,0.187052978,-3.608110779
CKAP4,-0.655835878,10.05996679,-2.521609112,0.019046822,0.175739467,-3.610768847
SEPTIN11,-0.453297491,7.191442281,-2.518540109,0.019176646,0.176351984,-3.616903103
G3BP2,-0.459617648,6.299324683,-2.475117683,0.02411467,0.19628681,-3.626591468
VPS37C,-0.674290318,5.294007201,-2.498067401,0.020846313,0.184328558,-3.628710856
LOC100147364,-0.460893187,8.554073389,-2.511415136,0.019481229,0.178088403,-3.631128333
MPI,-0.462997467,9.902854966,-2.507610223,0.019645722,0.179041227,-3.638715762
A0A9L0R3Z9,-0.63734301,7.626478956,-2.497533884,0.020087603,0.181398992,-3.658778053
RPL13,0.524952428,11.98791778,2.494121908,0.020239312,0.18166464,-3.665561133
LOC100051778,0.623409615,8.839050714,2.489344128,0.02045354,0.18303454,-3.675050698
CAVIN1,-0.401406043,11.83311923,-2.487430206,0.020539947,0.183106207,-3.678849229
TMSB4,-0.802798683,8.485017441,-2.486439408,0.020584811,0.183106207,-3.680815005
OSBPL8,0.556074382,4.57777589,2.419065574,0.029712902,0.214785962,-3.681541203
DDR2,0.61132024,7.218340627,2.445994176,0.024327608,0.197479022,-3.682430571
PRKD1,-0.491768904,6.552121403,-2.45831931,0.023182289,0.194012905,-3.685154737
NAPA,-0.346137541,8.941126709,-2.481668249,0.02080213,0.184328558,-3.690274942
GNG10,-0.397870501,8.287537043,-2.461684152,0.022121697,0.189529033,-3.716042554
SF3A3,-0.454401484,7.541990377,-2.46342472,0.021652891,0.189075627,-3.726351921
TPM4,-0.482200014,9.004152033,-2.462405147,0.021701376,0.189075627,-3.728363677
CILP,0.606527649,17.22214288,2.459638044,0.021833473,0.189529033,-3.733821151
CAPG,-0.691785552,7.977151856,-2.455183894,0.022047674,0.189529033,-3.742598568
ANXA1,-0.420040805,13.36437173,-2.454795199,0.022066459,0.189529033,-3.743364105
LIN7C,-0.467069832,7.692864449,-2.453947123,0.022107495,0.189529033,-3.745034151
EIF4H,-0.456126079,7.497719142,-2.453355289,0.022136175,0.189529033,-3.746199407
TFPI2,0.84273974,6.834134795,2.387144946,0.029630902,0.214785962,-3.750883723
ITIH5,-0.5142588,6.929089951,-2.423444918,0.024960179,0.200423495,-3.751483579
CHMP5,-0.469002646,7.406228824,-2.434367052,0.023907499,0.19628681,-3.751986423
RCN3,-0.514152256,9.672475231,-2.445083578,0.022540634,0.191414677,-3.762468584
EFTUD2,-0.391721084,7.321872037,-2.444969468,0.022546261,0.191414677,-3.762692799
PRDX6,0.505068392,13.66154964,2.444589468,0.02256501,0.191414677,-3.76343942
RAB8B,-0.670889725,6.678509966,-2.414943182,0.025958658,0.205114818,-3.766001736
SEPTIN6,-0.483897266,6.440001894,-2.438990737,0.022842919,0.192802026,-3.774432024
CNBP,-0.649798836,6.68097411,-2.434667131,0.023059698,0.193596101,-3.782911075
RBM25,-0.479303408,6.149931886,-2.412729768,0.02553144,0.204457972,-3.783078838
COL9A2,-1.038791955,11.463184,-2.434515726,0.023067324,0.193596101,-3.78320784
DR1,-0.524758293,7.222525021,-2.391862963,0.027859624,0.211966515,-3.792225354
UBR4,0.638204949,5.999450551,2.407575534,0.025810541,0.205114818,-3.792826436
CHCHD2,-0.905728284,5.755067351,-2.379359125,0.02929109,0.214785962,-3.793261955
SRP14,0.512876921,7.60760558,2.428482489,0.023373097,0.194820434,-3.795024674
C1QTNF12,0.848397407,9.013170165,2.426717112,0.023463275,0.194820434,-3.798479166
